target_id	length	eff_length	est_counts	tpm
comp24148_c0_seq1	568	390.623	54	2.09145
comp24207_c0_seq1	472	296.512	0	0
comp25426_c0_seq1	416	242.72	4.08891	0.254867
comp25426_c0_seq2	228	80.5822	13.9111	2.61176
comp24740_c0_seq1	473	297.482	0	0
comp24995_c0_seq1	313	148.579	19	1.93468
comp25065_c0_seq1	420	246.543	43	2.63869
comp25065_c0_seq2	204	64.4076	0	0
comp25622_c0_seq1	283	123.121	3	0.368638
comp25991_c0_seq1	575	397.561	131	4.98516
comp24605_c0_seq1	343	174.851	0	0
comp24086_c0_seq1	424	250.331	332	20.0648
comp24945_c0_seq1	370	199.491	3	0.227515
comp25757_c0_seq1	223	77.0667	68	13.3492
comp24709_c0_seq1	221	75.7279	138	27.5699
comp25844_c0_seq1	223	77.0667	33	6.47827
comp25124_c0_seq1	204	64.4076	18	4.22812
comp25033_c0_seq1	217	72.9939	0	0
comp24161_c0_seq1	270	112.512	15	2.01699
comp24564_c0_seq1	250	96.8716	12	1.87412
comp24178_c0_seq1	316	151.128	18	1.80193
comp25074_c0_seq1	285	124.734	17	2.06193
comp24940_c0_seq1	643	464.979	763	24.8258
comp25657_c0_seq1	286	125.587	62	7.46892
comp25183_c0_seq1	201	62.4667	6	1.45316
comp25916_c0_seq1	220	75.0349	0	0
comp24582_c0_seq1	226	79.2038	68	12.989
comp25866_c0_seq1	285	124.734	54	6.54967
comp24504_c0_seq1	208	67.0628	128	28.8762
comp24757_c0_seq1	441	266.567	6	0.340531
comp24199_c0_seq1	217	72.9939	17	3.5235
comp25416_c0_seq1	367	196.747	10	0.76896
comp24287_c0_seq1	409	235.994	14	0.897508
comp25327_c0_seq1	355	185.746	31	2.52496
comp25142_c0_seq1	216	72.2744	6	1.25597
comp25832_c0_seq1	569	391.623	25	0.965792
comp24350_c0_seq1	205	65.0756	38	8.83441
comp25635_c0_seq1	266	109.276	43	5.95325
comp25666_c0_seq1	210	68.3166	3	0.664365
comp24999_c0_seq1	216	72.2744	81	16.9556
comp24066_c0_seq1	580	402.509	7	0.263108
comp25094_c0_seq1	399	226.596	413	27.5746
comp24132_c0_seq1	392	220.012	5	0.343824
comp24889_c0_seq1	996	817.224	94	1.7402
comp24114_c0_seq1	216	72.2744	51	10.6757
comp25730_c0_seq1	243	91.562	11	1.81756
comp24941_c0_seq1	288	127.179	22	2.6171
comp25291_c0_seq1	210	68.3166	40	8.85821
comp25980_c0_seq1	339	171.257	8	0.706728
comp25256_c0_seq1	304	140.721	11	1.18262
comp24793_c0_seq1	424	250.331	44	2.6592
comp25889_c0_seq1	202	63.1305	6	1.43788
comp24639_c0_seq1	458	282.89	71	3.7971
comp24251_c0_seq1	276	117.393	1	0.128875
comp25869_c0_seq1	262	106.094	44	6.27442
comp24671_c0_seq1	227	79.8916	0	0
comp25726_c0_seq1	207	66.4038	3	0.683502
comp25808_c0_seq1	283	123.121	98	12.0422
comp24466_c0_seq1	248	95.319	0	0
comp24466_c0_seq2	222	76.3653	2	0.396228
comp25587_c0_seq1	332	164.992	15	1.37543
comp24049_c0_seq1	274	115.738	7	0.915024
comp24382_c0_seq1	218	73.6926	3	0.615898
comp25271_c0_seq1	621	443.108	235	8.02362
comp24652_c0_seq1	437	262.708	2	0.115178
comp25011_c0_seq1	264	107.652	5	0.702685
comp25708_c0_seq1	470	294.55	41	2.10589
comp25317_c0_seq1	364	194.008	17	1.32568
comp25949_c0_seq1	375	204.183	99	7.33546
comp25326_c0_seq1	881	702.365	269	5.7943
comp24008_c0_seq1	317	152.002	4	0.398127
comp24871_c0_seq1	453	278.096	1736	94.4422
comp24081_c0_seq1	253	99.1562	15	2.28867
comp24963_c0_seq1	759	580.494	558	14.5428
comp25355_c0_seq1	231	82.7267	370	67.6656
comp24943_c0_seq1	247	94.5632	196	31.3578
comp24502_c0_seq1	309	145.057	13	1.35586
comp25441_c0_seq1	269	111.652	7	0.948512
comp24420_c0_seq1	238	87.8903	2	0.344271
comp25406_c0_seq1	527	350.232	2	0.0863945
comp24313_c0_seq1	238	87.8903	40	6.88542
comp24756_c0_seq1	627	449.044	1	0.0336917
comp25613_c0_seq1	255	100.7	16	2.40383
comp25532_c0_seq1	205	65.0756	25	5.81211
comp25079_c0_seq1	221	75.7279	3370	673.265
comp25031_c0_seq1	504	327.674	67	3.09346
comp25679_c0_seq1	213	70.2971	0	0
comp24668_c0_seq1	396	223.757	1	0.0676138
comp25119_c0_seq1	292	130.492	26	3.01441
comp25390_c0_seq1	256	101.46	64	9.54331
comp24896_c0_seq1	307	143.304	2	0.211147
comp25329_c0_seq1	314	149.42	23	2.32879
comp25619_c0_seq1	376	205.126	8	0.590039
comp25359_c0_seq1	359	189.361	76	6.07203
comp24997_c0_seq1	402	229.41	308	20.3119
comp24019_c0_seq1	624	446.063	286	9.70021
comp25774_c0_seq1	289	128.004	16	1.89108
comp24484_c0_seq1	281	121.504	80	9.96115
comp24965_c0_seq1	311	146.795	313	32.2586
comp24173_c0_seq1	580	402.509	175	6.57769
comp25319_c0_seq1	421	247.482	56	3.42339
comp25093_c0_seq1	288	127.179	1	0.118959
comp25643_c0_seq1	387	215.371	210	14.7518
comp25122_c0_seq1	456	280.972	0	0
comp25547_c0_seq1	332	164.992	151	13.846
comp25047_c0_seq1	263	106.867	64	9.06038
comp25693_c0_seq1	392	220.012	57	3.91959
comp24611_c0_seq1	325	158.911	40	3.80819
comp24779_c0_seq1	356	186.636	81	6.566
comp24051_c0_seq1	515	338.478	77	3.44169
comp24753_c0_seq1	1098	919.224	166	2.73211
comp24336_c0_seq1	265	108.468	24	3.3475
comp24942_c0_seq1	222	76.3653	0	0
comp24412_c0_seq1	232	83.475	2	0.362481
comp25235_c0_seq1	413	239.832	24	1.51396
comp25739_c0_seq1	655	476.891	19	0.602762
comp24777_c0_seq1	302	139.021	23	2.50299
comp25148_c0_seq1	270	112.512	287	38.5918
comp25705_c0_seq1	264	107.652	10	1.40537
comp24186_c0_seq1	244	92.3137	7	1.14721
comp25552_c0_seq1	366	195.825	5	0.38629
comp24844_c0_seq1	260	104.561	35	5.06419
comp24028_c0_seq1	288	127.179	4	0.475836
comp25468_c0_seq1	526	349.257	24	1.03963
comp25284_c0_seq1	243	91.562	2	0.330466
comp24427_c0_seq1	357	187.556	0	0
comp24749_c0_seq1	506	329.627	163	7.4813
comp25972_c0_seq1	436	261.746	12	0.693605
comp25121_c0_seq1	262	106.094	11	1.5686
comp25513_c0_seq1	474	298.474	1	0.0506881
comp24300_c0_seq1	489	313.083	182	8.79476
comp24493_c0_seq1	282	122.318	2	0.247372
comp24054_c0_seq1	202	63.1305	52	12.4617
comp25924_c0_seq1	255	100.7	1	0.150239
comp24744_c0_seq1	302	139.021	32	3.48242
comp24003_c0_seq1	345	176.668	24	2.05525
comp25109_c0_seq1	218	73.6926	124	25.4571
comp25580_c0_seq1	230	82.0265	1442	265.964
comp25179_c0_seq1	299	136.404	36	3.99289
comp25936_c0_seq1	295	133.073	55	6.25293
comp24850_c0_seq1	301	138.127	2	0.219059
comp25175_c0_seq1	439	264.628	71	4.05913
comp25877_c0_seq1	328	161.511	5	0.46836
comp25293_c0_seq1	405	232.249	171	11.1392
comp24581_c0_seq1	459	283.825	45	2.39869
comp24090_c0_seq1	397	224.711	41	2.76039
comp24147_c0_seq1	492	316.019	50	2.39369
comp25225_c0_seq1	264	107.652	0	0
comp24364_c0_seq1	318	152.838	56	5.54329
comp25604_c0_seq1	223	77.0667	46	9.03031
comp24860_c0_seq1	284	123.921	158	19.2896
comp24383_c0_seq1	336	168.567	1306	117.215
comp25298_c0_seq1	333	165.854	26	2.3717
comp24463_c0_seq1	254	99.9302	2	0.302792
comp24167_c0_seq1	203	63.7507	86	20.4092
comp24613_c0_seq1	615	437.12	107	3.70335
comp24154_c0_seq1	338	170.372	212	18.8256
comp25713_c0_seq1	222	76.3653	17	3.36794
comp24773_c0_seq1	341	173.06	30	2.62262
comp24226_c0_seq1	266	109.276	0	0
comp24329_c0_seq1	403	230.35	77	5.05725
comp24355_c0_seq1	624	446.063	71	2.40809
comp25424_c0_seq1	357	187.556	46	3.71055
comp24304_c0_seq1	533	356.12	18	0.764694
comp25710_c0_seq1	255	100.7	34	5.10814
comp25499_c0_seq1	245	93.0906	19	3.08787
comp25828_c0_seq1	325	158.911	0	0
comp25743_c0_seq1	394	221.857	22	1.50024
comp25018_c0_seq1	382	210.679	3	0.215433
comp25696_c0_seq1	268	110.854	63	8.59806
comp24689_c0_seq1	213	70.2971	437	94.0493
comp25282_c0_seq1	376	205.126	79	5.82664
comp25378_c0_seq1	329	162.377	79	7.3606
comp24400_c0_seq1	317	152.002	27	2.68736
comp24702_c0_seq1	349	180.287	10	0.839163
comp24446_c0_seq1	362	192.162	10	0.787308
comp25928_c0_seq1	248	95.319	89	14.1261
comp24149_c0_seq1	280	120.655	8	1.00313
comp25246_c0_seq1	358	188.456	108	8.67012
comp24964_c0_seq1	392	220.012	39	2.68183
comp24087_c0_seq1	215	71.5708	44	9.30098
comp25517_c0_seq1	231	82.7267	17	3.10896
comp24593_c0_seq1	682	503.744	13	0.390432
comp24271_c0_seq1	844	665.424	47	1.06859
comp25925_c0_seq1	363	193.065	33	2.58596
comp25130_c0_seq1	360	190.311	15	1.19245
comp25044_c0_seq1	220	75.0349	70	14.1139
comp24309_c0_seq1	230	82.0265	30	5.53323
comp25992_c0_seq1	334	166.774	170	15.4217
comp24866_c0_seq1	1067	888.224	93	1.58406
comp25845_c0_seq1	247	94.5632	6	0.959933
comp24981_c0_seq1	244	92.3137	12	1.96665
comp25104_c0_seq1	430	256.034	9	0.53181
comp24460_c0_seq1	345	176.668	163	13.9586
