target_id,colors
XM_015811130.1,darkgreen
XM_015811131.1,purple
XM_015811132.1,turquoise
XM_015811133.1,purple
XM_015811134.1,blue
XM_015811135.1,darkred
XM_015811137.2,lightgreen
XM_015811138.2,turquoise
XM_015811139.2,lightgreen
XM_015811140.1,blue
XM_015811141.1,blue
XM_015811142.1,blue
XM_015811143.1,lightgreen
XM_015811144.1,lightyellow
XM_015811145.2,greenyellow
XM_015811146.1,grey60
XM_015811147.2,greenyellow
XM_015811150.2,turquoise
XM_015811152.1,red
XM_015811153.2,turquoise
XM_015811154.1,blue
XM_015811155.1,blue
XM_015811156.2,greenyellow
XM_015811157.2,blue
XM_015811159.1,green
XM_015811160.2,lightgreen
XM_015811161.1,lightgreen
XM_015811162.2,greenyellow
XM_015811165.1,blue
XM_015811166.1,turquoise
XM_015811168.1,blue
XM_015811169.1,turquoise
XM_015811170.2,darkgrey
XM_015811171.2,salmon
XM_015811172.1,darkturquoise
XM_015811173.1,salmon
XM_015811174.1,salmon
XM_015811177.1,turquoise
XM_015811178.1,salmon
XM_015811180.1,green
XM_015811181.1,lightgreen
XM_015811184.1,salmon
XM_015811185.1,lightcyan
XM_015811190.1,blue
XM_015811191.1,blue
XM_015811192.2,lightgreen
XM_015811193.1,red
XM_015811194.1,darkturquoise
XM_015811195.1,darkturquoise
XM_015811196.1,green
XM_015811198.1,darkred
XM_015811199.1,salmon
XM_015811200.1,green
XM_015811201.1,salmon
XM_015811202.1,darkturquoise
XM_015811203.1,turquoise
XM_015811204.1,purple
XM_015811205.1,blue
XM_015811206.1,greenyellow
XM_015811207.1,turquoise
XM_015811208.1,salmon
XM_015811209.1,salmon
XM_015811210.1,salmon
XM_015811211.1,salmon
XM_015811212.2,blue
XM_015811213.2,blue
XM_015811214.1,red
XM_015811215.2,turquoise
XM_015811216.1,salmon
XM_015811217.1,blue
XM_015811218.2,black
XM_015811219.1,red
XM_015811220.2,black
XM_015811221.1,salmon
XM_015811222.1,blue
XM_015811223.1,blue
XM_015811224.2,blue
XM_015811225.1,green
XM_015811251.1,blue
XM_015811253.1,blue
XM_015811254.1,turquoise
XM_015811258.1,greenyellow
XM_015811259.1,cyan
XM_015811260.1,cyan
XM_015811261.1,lightgreen
XM_015811262.2,blue
XM_015811263.1,blue
XM_015811264.1,blue
XM_015811266.1,red
XM_015811267.1,red
XM_015811268.2,cyan
XM_015811269.1,turquoise
XM_015811270.1,turquoise
XM_015811271.2,greenyellow
XM_015811272.2,grey60
XM_015811273.1,green
XM_015811275.1,green
XM_015811276.2,blue
XM_015811278.1,turquoise
XM_015811279.1,black
XM_015811281.1,turquoise
XM_015811282.1,blue
XM_015811283.1,blue
XM_015811284.1,turquoise
XM_015811285.1,turquoise
XM_015811286.1,greenyellow
XM_015811287.1,red
XM_015811289.1,red
XM_015811290.1,purple
XM_015811291.2,darkred
XM_015811292.1,blue
XM_015811293.1,blue
