target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810292.1,0,0,0,0
XM_015810293.1,0,0,0,0
XM_015810295.1,0,1.99898,0,5
XM_015810296.1,0,0.00101591,1406,0
XM_015810297.1,1,0,2446.94,1
XM_015810299.1,7015.93,6.76933,16738.8,4945.03
XM_015810300.1,0,5,6786,4
XM_015810303.1,2.51891,1,1249.91,1.05953
XM_015810305.1,4,7,2877,3955
XM_015810306.1,1,0,0,0
XM_015810307.1,0,0,2,1
XM_015810309.2,8.93645,3.62791,14138,0
XM_015810310.1,0.0635543,0.372087,0,86
XM_015810312.1,0,0,0,0
XM_015810313.1,0,0,0,893
XM_015810314.1,3,9,2227,6
XM_015810315.1,0,0,0,0
XM_015810316.1,5,5,8.84297,15629.3
XM_015810317.1,490,3,3532.97,1427.52
XM_015810319.1,0.638492,7,5628.18,71.9332
XM_015810320.1,6.36151,0,1487.27,0
XM_015810321.1,0,0,3,0
XM_015810322.1,1,0,0,0
XM_015810323.1,0,0,540,1
XM_015810324.1,0,0,762,2
XM_015810325.1,0,0,0,0
XM_015810326.1,0,0,4700.55,246.875
XM_015810327.1,1,1,1785.45,0
XM_015810328.1,3,0,347,0
XM_015810331.1,0,0,0,0
XM_015810332.1,0,0,0,0
XM_015810334.2,0,0,0,0
XM_015810337.1,0,0,0,0
XM_015810338.1,5,0,0,0
XM_015810340.1,0,0,0,0
XM_015810342.1,0,0,1,0
XM_015810343.1,1,2,3760.93,4847.06
XM_015810344.1,0,0,0,0
XM_015810345.1,0,0,0,0
XM_015810346.1,0,0,1,3
XM_015810347.1,0,0,0,0
XM_015810348.1,0,0,0,0
XM_015810349.2,12401,2,7,3
XM_015810350.1,0,0,0,0
XM_015810351.2,0,0,0,0
XM_015810352.1,0,0,0,0
XM_015810353.1,0,0,0,0
XM_015810354.1,0,0,0,0
XM_015810355.1,0,0,0,0
XM_015810356.1,1,1,0,1
XM_015810357.1,0,0,0,0
XM_015810359.1,0,0,4,4868
XM_015810360.1,0,0,0,0
XM_015810361.1,0,0,0,1
XM_015810363.1,0,0,0,0
XM_015810364.1,0,0,0,0
XM_015810365.1,0,0,0,0
XM_015810366.2,8,6,10111,13296
XM_015810367.1,0,0,0,0
XM_015810368.1,0,0,0,0
XM_015810369.1,0,0,1.93924,0
XM_015810370.1,0,2,2.06076,0
XM_015810371.1,0,0,0,0
XM_015810372.1,0,0,0,0
XM_015810373.1,0,2,0,1
XM_015810375.1,2,4,4415,4
XM_015810376.1,2,1,3427,5
XM_015810377.1,0,0,0,0
XM_015810378.1,0,2,2,0
XM_015810380.1,0,2,1705,1
XM_015810381.1,0,0,0,0
XM_015810382.1,0,0,0,0
XM_015810383.1,0,0,0,0
XM_015810384.1,0,0,0,0
XM_015810385.1,0,0,0,0
XM_015810386.1,0,0,0,0
XM_015810387.2,0,2,6,8133
XM_015810392.1,0,0,0,0
XM_015810394.2,0,0,0,0
XM_015810395.1,5,0,3692,5
XM_015810396.1,0,0,0,0
XM_015810398.1,0,0,0,0
XM_015810399.1,0,0,0,1
XM_015810402.1,1,1,372,2
XM_015810403.1,0,0,2,0
XM_015810404.1,0,0,0,0
XM_015810405.1,0,0,0,0
XM_015810406.1,0,0,0,0
XM_015810407.1,0,0,0,0
