"","target_id","logFC","unshrunk.logFC","logCPM","PValue"
"3539","XM_015811767.1",-2.46208795963303,-2.4681041572547,3.51491134916744,0.0288694867937928
"3540","XM_015815227.1",-2.45988447634164,-2.46271925201936,5.27311890414663,0.00357140432355123
"3541","XM_015824462.1",-2.45468408965327,-2.46285839363581,4.37100128615478,0.037210896511558
"3542","XM_015823694.1",-2.45323322098289,-2.45622222249712,4.49666657491839,1.3272236751641e-05
"3543","XM_029283185.1",-2.45211443171857,-2.4584016653606,3.37610044093607,0.00251478042939524
"3544","XM_015821828.2",-2.45134211112002,-2.4681375368187,2.77032195780786,0.00501642807385109
"3545","XM_015814153.1",-2.44241214891243,-2.4461805560988,4.48458720990081,0.000124987915556678
"3546","XM_015819420.1",-2.43674001926062,-2.44175211144018,4.64884227125935,0.00266961011832935
"3547","XM_015826006.1",-2.43649721657634,-2.4544258256722,2.74819218137399,0.00298278399190263
"3548","XM_015812800.1",-2.4307109765039,-2.43462392908917,3.74653575068907,0.000243536145895409
"3549","XM_015820293.2",-2.42472954276228,-2.4466874395198,2.75626326056708,0.00630649861499535
"3550","XM_015824438.1",-2.42418619759213,-2.42560059167973,5.16201097021791,0.000577913394218057
"3551","XM_015828195.1",-2.42373214852935,-2.42922969472963,3.89837725679887,8.12931556082555e-05
"3552","XM_015810064.1",-2.42188278913878,-2.43940966445405,3.26869477186683,0.0239681314424071
"3553","XM_015821880.1",-2.41974204869818,-2.43013273685039,2.40033274292813,0.0158010359244818
"3554","XM_015830285.1",-2.40889837201011,-2.41575800755448,2.95757932164836,0.0398650198324241
"3555","XM_015829597.2",-2.38954599889307,-2.39433390189581,3.41875112514947,0.013458492531357
"3556","XM_015824461.1",-2.38684818258592,-2.38872457136902,5.03856869811907,0.000909816658178935
"3557","XM_015815241.2",-2.38227959036693,-2.39098304148786,2.99593399722564,0.000476395388071773
"3558","XM_015831890.2",-2.38219816365304,-2.39689495704763,2.50640040570085,0.000672742608165253
"3559","XM_029284233.1",-2.38041607137544,-2.39309991341828,3.79746566101178,0.0272913237052704
"3560","XM_015812748.1",-2.37898957787948,-2.38051734106382,5.07633424961206,4.07012464863539e-05
"3561","XM_015827274.1",-2.37873350714694,-2.3857946425968,4.17892729430899,0.0120108918714868
"3562","XM_029284095.1",-2.37745429775688,-2.38144202276717,4.30011025844641,0.00763563467967755
"3563","XM_015818199.1",-2.37587142855323,-2.38454372628434,3.51903275904394,0.00100687497566244
"3564","XM_015821518.1",-2.37432034677378,-2.38815444866792,3.74110781767399,0.0286253799582209
"3565","XM_015813028.1",-2.36628638038412,-2.36880520102416,4.83578620528967,0.00152330523329215
"3566","XM_015830385.2",-2.36496224272217,-2.37618368516914,2.23027111308093,0.0132427457932669
